torque_Nm,t_s,velocity_rev_s
0.008157307210000003,0.03877830505371094,2.5962142944335938
0.008157307210000003,0.04126119613647461,2.7894420623779297
0.008157307210000003,0.043636322021484375,2.978269338607788
0.008157307210000003,0.046064138412475586,3.1724090576171875
0.008157307210000003,0.04853343963623047,3.469651937484741
0.008157307210000003,0.05094718933105469,3.668754816055298
0.008157307210000003,0.05345034599304199,3.9217844009399414
0.008157307210000003,0.0559232234954834,4.251254558563232
0.008157307210000003,0.058454036712646484,4.451178550720215
0.008157307210000003,0.060927391052246094,4.6770405769348145
0.008157307210000003,0.06366324424743652,5.007590293884277
0.008157307210000003,0.06612133979797363,5.247225761413574
0.008157307210000003,0.06871318817138672,5.431947231292725
0.008157307210000003,0.07119107246398926,5.662752628326416
0.010604499373000004,0.0,-0.02165231667459011
0.010604499373000004,0.002307891845703125,0.0046577975153923035
0.010604499373000004,0.0045278072357177734,0.0026417889166623354
0.010604499373000004,0.007097005844116211,-0.027937041595578194
0.010604499373000004,0.009485960006713867,-0.010099047794938087
0.010604499373000004,0.011887788772583008,0.17429625988006592
0.010604499373000004,0.014354944229125977,0.5527013540267944
0.010604499373000004,0.01725482940673828,0.9757854342460632
0.010604499373000004,0.019575119018554688,1.3211877346038818
0.010604499373000004,0.021965980529785156,1.6503474712371826
0.010604499373000004,0.024554967880249023,2.0150198936462402
0.010604499373000004,0.0271148681640625,2.327737331390381
0.010604499373000004,0.02950286865234375,2.6271088123321533
0.010604499373000004,0.03188610076904297,2.934124708175659
0.010604499373000004,0.034314870834350586,3.274953603744507
0.010604499373000004,0.037156105041503906,3.660203695297241
0.010604499373000004,0.03953194618225098,3.9164164066314697
0.010604499373000004,0.04208087921142578,4.314390659332275
0.010604499373000004,0.044435977935791016,4.568073272705078
0.010604499373000004,0.04711604118347168,4.879317283630371
0.010604499373000004,0.04952287673950195,5.15905237197876
0.010604499373000004,0.05194592475891113,5.471671104431152
0.010604499373000004,0.05432295799255371,5.839911937713623
0.010604499373000004,0.05701303482055664,6.140986442565918
0.010604499373000004,0.05933094024658203,6.407546043395996
0.010604499373000004,0.061593055725097656,6.668779373168945
0.010604499373000004,0.06410694122314453,6.962189197540283
0.010604499373000004,0.06692194938659668,7.264170169830322
0.010604499373000004,0.06966590881347656,7.657798767089844
0.010604499373000004,0.0727839469909668,8.049777030944824
0.013785849184900006,0.0,-0.005627294536679983
0.013785849184900006,0.0033981800079345703,0.015908069908618927
0.013785849184900006,0.0073010921478271484,-0.02765646018087864
0.013785849184900006,0.010107040405273438,0.010427308268845081
0.013785849184900006,0.012414216995239258,-0.02802373096346855
0.013785849184900006,0.0188140869140625,0.5830714106559753
0.013785849184900006,0.02172994613647461,1.106066107749939
0.013785849184900006,0.025017976760864258,1.702407956123352
0.013785849184900006,0.027564048767089844,2.1041316986083984
0.013785849184900006,0.029970169067382812,2.576608180999756
0.013785849184900006,0.03272104263305664,2.975303888320923
0.013785849184900006,0.03545212745666504,3.466278553009033
0.013785849184900006,0.03813600540161133,3.8729612827301025
0.013785849184900006,0.04104804992675781,4.432413101196289
0.013785849184900006,0.04366898536682129,4.812931060791016
0.013785849184900006,0.046463966369628906,5.30101203918457
0.013785849184900006,0.04959416389465332,5.809409141540527
0.013785849184900006,0.05240917205810547,6.270456314086914
0.013785849184900006,0.05590701103210449,6.800073623657227
0.013785849184900006,0.05926918983459473,7.2534499168396
0.013785849184900006,0.0624690055847168,7.62836217880249
0.013785849184900006,0.06588506698608398,8.096036911010742
0.013785849184900006,0.06926417350769043,8.481728553771973
0.013785849184900006,0.07283711433410645,9.060726165771484
0.013785849184900006,0.07563519477844238,9.407927513122559
0.013785849184900006,0.07835912704467773,9.78708267211914
0.013785849184900006,0.08080410957336426,10.224376678466797
0.013785849184900006,0.08318614959716797,10.679178237915039
0.013785849184900006,0.08556699752807617,11.166230201721191
