kd,t,v
0.05,1.751776333025191,7.92542028427124
0.05,1.7552915830165148,7.792596340179443
0.05,1.7588122910237871,7.742294788360596
0.05,1.7603822080418468,7.785234451293945
0.05,1.7631325830006972,7.9075608253479
0.05,1.7647870830260217,7.761884689331055
0.05,1.7668733750469983,7.612303256988525
0.05,1.7710971250198781,7.863234043121338
0.05,1.773421916004736,7.739563465118408
0.05,1.7766538330470212,7.888551712036133
0.05,1.7814130409969948,7.813526153564453
0.05,1.7850170000456274,7.942126274108887
0.05,1.7864264160161838,7.856821537017822
0.05,1.787531583046075,7.920925140380859
0.05,1.7885762079968117,7.865297317504883
0.05,1.7896205830038525,7.904689788818359
0.05,1.790927708032541,7.90330696105957
0.05,1.7919858749955893,7.848540782928467
0.05,1.7931965830503032,7.890476703643799
0.05,1.7943350410205312,7.935133457183838
0.05,1.795542125008069,7.966684341430664
0.05,1.796542958007194,7.915097236633301
0.05,1.7977931660134345,7.950984477996826
0.05,1.7992100410046987,7.952898025512695
0.05,1.8002990829991177,7.924332141876221
0.05,1.801451541017741,7.974115371704102
0.05,1.8025067080161534,7.95101261138916
0.05,1.8035630829981528,8.019108772277832
0.05,1.8046419160091318,8.010821342468262
0.05,1.8061732909991406,8.102152824401855
0.05,1.8076080830069259,8.152331352233887
0.05,1.8094955830019899,8.091404914855957
0.05,1.810756791033782,8.147661209106445
0.05,1.81208687502658,8.074248313903809
0.05,1.8134631660068408,8.110306739807129
0.05,1.817711333045736,8.187432289123535
0.05,1.8196315410314128,8.11476993560791
0.05,1.8210856660152785,8.112987518310547
0.05,1.822458541020751,8.108762741088867
0.05,1.823727915994823,8.15031909942627
0.05,1.8249866249971092,8.17436408996582
0.05,1.826263958006166,8.173823356628418
0.05,1.8286291250260547,8.116339683532715
0.05,1.8299999580485746,8.10254192352295
0.05,1.8312970830011182,8.179885864257812
0.05,1.8326191660016775,8.157047271728516
0.05,1.8339532079990022,8.103774070739746
0.05,1.835140333045274,8.107504844665527
0.05,1.8371639580000192,8.140581130981445
0.05,1.8386196250212379,8.166366577148438
0.05,1.8400454160291702,8.138642311096191
0.05,1.8420312500093132,8.12979507446289
0.05,1.8434296250343323,8.128072738647461
0.05,1.845157875039149,8.086883544921875
0.05,1.846773250028491,8.056941986083984
0.05,1.8481770410435274,8.108725547790527
0.05,1.8495342080132104,8.042036056518555
0.05,1.8509507499984466,8.103843688964844
0.05,1.8551062080077827,7.923789024353027
0.05,1.8566810830379836,7.993472099304199
0.05,1.8580460830125958,8.014862060546875
0.05,1.8594798750127666,7.981494426727295
0.05,1.8618706249981187,7.89103364944458
0.05,1.8632828330155462,7.903684139251709
0.05,1.8646182080265135,7.907736778259277
0.05,1.8659825830254704,7.9312357902526855
0.05,1.8673247080296278,7.974001407623291
0.05,1.8705647500464693,7.900725364685059
0.05,1.8724918329971842,7.981405735015869
0.05,1.8738112910068594,7.938416004180908
0.05,1.8752516660024412,7.908452987670898
0.05,1.8766407910152338,7.917386054992676
0.05,1.8785164160071872,7.92246675491333
0.05,1.8799188749981113,7.997375965118408
0.05,1.881239375041332,7.9117536544799805
0.05,1.8825433750171214,7.8692545890808105
0.05,1.8839422080200166,7.814431190490723
0.05,1.8852131660096347,7.794405937194824
0.05,1.886510125012137,7.872318744659424
0.05,1.8879135409952141,7.918882846832275
0.05,1.8893617910216562,7.8873491287231445
0.05,1.8906304580159485,7.835904598236084
0.05,1.892052750044968,7.724414348602295
0.05,1.8934202500386164,7.777568817138672
0.05,1.8952711659949273,7.838484764099121
0.05,1.8966423330130056,7.823103904724121
0.05,1.8980755830416456,7.853401184082031
0.05,1.8994233750272542,7.839271068572998
0.05,1.9007751250173897,7.85767936706543
0.05,1.9041634160093963,7.926811218261719
0.05,1.905629500048235,7.873105525970459
0.05,1.9069844580371864,7.86447286605835
0.05,1.9083840410457924,7.886534690856934
0.05,1.9096557080047205,7.960592746734619
0.05,1.9110988330212422,7.844852447509766
0.05,1.9124291250482202,7.92163610458374
0.05,1.9137361660250463,7.901444435119629
0.05,1.915044958004728,7.939250469207764
0.05,1.916376500041224,7.854283332824707
0.05,1.917731833003927,7.937955856323242
0.05,1.919108750007581,7.998961925506592
0.05,1.921311083016917,7.976672172546387
0.05,1.9241199160460383,7.951169490814209
0.05,1.9257325830403715,8.021474838256836
0.05,1.9271007080096751,8.030969619750977
0.05,1.9307032080250792,8.112032890319824
0.05,1.93228645803174,8.097563743591309
0.05,1.9337300000479445,8.112581253051758
0.05,1.935151958023198,8.13153076171875
0.05,1.9365848330198787,8.12958812713623
0.05,1.9382778750150464,8.14881706237793
0.05,1.9397129580029286,8.196442604064941
0.05,1.941173458006233,8.212018013000488
0.05,1.942484041035641,8.168121337890625
0.05,1.9437345830374397,8.166936874389648
0.05,1.9451516660046764,8.199655532836914
0.05,1.946599040995352,8.138313293457031
0.05,1.9480770000373013,8.124418258666992
0.05,1.9494640830089338,8.18101978302002
0.05,1.950841833022423,8.189682960510254
0.05,1.9521673330455087,8.15513801574707
0.05,1.9535046660457738,8.089709281921387
0.05,1.9547055000439286,8.221595764160156
0.05,1.9567907910095528,8.15189266204834
0.05,1.9585880410159007,8.127427101135254
0.05,1.9600587080349214,8.152897834777832
0.05,1.961418000049889,8.193686485290527
0.05,1.9626969580422156,8.23263931274414
0.05,1.9647987910429947,8.0919189453125
0.05,1.968200750008691,8.08472728729248
0.05,1.9696167500223964,8.1131010055542
0.05,1.970984916028101,8.1176118850708
0.05,1.9723683750489727,8.085805892944336
0.05,1.9737407080247067,8.11884593963623
0.05,1.9751336250337772,8.077635765075684
0.05,1.976445083040744,8.06894588470459
0.05,1.9821879580267705,7.957922458648682
0.05,1.983645583037287,7.98984956741333
0.05,1.9850153750157915,7.976970672607422
0.05,1.986375916050747,7.927412033081055
0.05,1.9877258750493638,7.899505615234375
0.05,1.9891088750446215,7.909025192260742
0.05,1.9904714160365984,7.956579685211182
0.05,1.9919673750409856,7.975144863128662
0.05,1.9934501660172828,7.927066326141357
