v_cmd,omega,t,torque
4.029411764705882,4.033600999597917,1.3058880000025965,0.006376196164637804
4.029411764705882,4.033600999597917,1.3191932500340044,0.008776022121310234
4.029411764705882,4.033600999597917,1.3326253750128672,0.010614484548568726
4.029411764705882,4.033600999597917,1.3468002920271829,0.004465123638510704
4.029411764705882,4.033600999597917,1.361735749989748,0.011272278614342213
4.029411764705882,4.033600999597917,1.3747485830099322,0.005491029005497694
4.029411764705882,4.033600999597917,1.3886493750032969,0.003391399048268795
4.029411764705882,4.033600999597917,1.4025020420085639,0.004192154388874769
4.029411764705882,4.033600999597917,1.4161400829907507,0.0024462954606860876
4.029411764705882,4.033600999597917,1.4286987500381656,0.0011732833227142692
4.029411764705882,4.033600999597917,1.4430423750309274,0.0017043243860825896
4.029411764705882,4.033600999597917,1.4558974170358852,0.001921882969327271
4.029411764705882,4.033600999597917,1.4689590000198223,0.00024849403416737914
4.029411764705882,4.033600999597917,1.4818402919918299,0.0007678218535147607
4.029411764705882,4.033600999597917,1.4953423329861835,0.004968497436493635
4.029411764705882,4.033600999597917,1.5079039169941097,0.005873234011232853
4.029411764705882,4.033600999597917,1.5215778750134632,0.0015562426997348666
4.029411764705882,4.033600999597917,1.5352264170069247,0.0017748791724443436
4.029411764705882,4.033600999597917,1.5486180830048397,0.007713611703366041
4.029411764705882,4.033600999597917,1.5627903750282712,0.005538624245673418
4.029411764705882,4.033600999597917,1.5763754170038737,0.00976361520588398
4.029411764705882,4.033600999597917,1.5892921250197105,0.008324727416038513
4.029411764705882,4.033600999597917,1.6023695830372162,0.00541604682803154
4.029411764705882,4.033600999597917,1.6153689580387436,0.003761051222681999
4.029411764705882,4.033600999597917,1.6276970829931088,0.005287832580506802
4.029411764705882,4.033600999597917,1.641545958002098,0.003588893450796604
4.029411764705882,4.033600999597917,1.6565628750249743,0.0011439939262345433
4.029411764705882,4.033600999597917,1.670394667016808,0.004197601228952408
4.029411764705882,4.033600999597917,1.6835560000035912,0.003284986363723874
4.029411764705882,4.033600999597917,1.695776333042886,0.0009696500492282212
4.029411764705882,4.033600999597917,1.7091714580310509,0.0005800045910291374
4.029411764705882,4.033600999597917,1.7214955000090413,0.0011296204756945372
4.029411764705882,4.033600999597917,1.7340468750335276,0.0035582033451646566
4.029411764705882,4.033600999597917,1.7470458330353722,0.003053052118048072
4.029411764705882,4.033600999597917,1.76057949999813,0.003204265609383583
4.029411764705882,4.033600999597917,1.773752625042107,0.0040630167350173
4.029411764705882,4.033600999597917,1.787547167041339,0.003441331209614873
4.029411764705882,4.033600999597917,1.8005379580426961,0.004249773919582367
4.029411764705882,4.033600999597917,1.8128445000038482,0.005696665029972792
4.029411764705882,4.033600999597917,1.8251282080309466,0.009825794026255608
4.029411764705882,4.033600999597917,1.837457292014733,0.007943590171635151
4.029411764705882,4.033600999597917,1.850682832999155,0.007355171721428633
4.029411764705882,4.033600999597917,1.866803000040818,0.009740539826452732
4.029411764705882,4.033600999597917,1.8791442920337431,0.00920469406992197
4.029411764705882,4.033600999597917,1.8914925830322318,0.0038557013031095266
4.029411764705882,4.033600999597917,1.9038795420201495,0.0009779457468539476
4.029411764705882,4.033600999597917,1.9162340000038967,0.001054106280207634
4.029411764705882,4.033600999597917,1.929296082991641,0.0021315671037882566
4.029411764705882,4.033600999597917,1.9417118330020458,0.0037923206109553576
