v_cmd,omega_mean,t,torque,omega
-32.0,-32.05758970578511,1.8565466250292957,-0.04694608226418495,-31.848237991333008
-32.0,-32.05758970578511,1.8692710420000367,-0.025076676160097122,-32.437625885009766
-32.0,-32.05758970578511,1.8814365839934908,-0.05150812864303589,-31.749921798706055
-32.0,-32.05758970578511,1.8932666250038892,-0.030694477260112762,-32.265594482421875
-32.0,-32.05758970578511,1.9055238750297576,-0.04192559793591499,-32.000118255615234
-32.0,-32.05758970578511,1.9179762920248322,-0.04874682426452637,-31.792705535888672
-32.0,-32.05758970578511,1.930490542028565,-0.02583969011902809,-32.47815704345703
-32.0,-32.05758970578511,1.9429796250187792,-0.05467095226049423,-31.673025131225586
-32.0,-32.05758970578511,1.9553552500437945,-0.03214969485998154,-32.22565460205078
-32.0,-32.05758970578511,1.9675171250128187,-0.04134365916252136,-32.01432418823242
-32.0,-32.05758970578511,1.9799561250256374,-0.04672635719180107,-31.774507522583008
-32.0,-32.05758970578511,1.992416166991461,-0.025468014180660248,-32.49810028076172
-32.0,-32.05758970578511,2.0050002920324914,-0.05204588919878006,-31.733394622802734
-32.0,-32.05758970578511,2.0175722090061754,-0.03202047571539879,-32.2573356628418
-32.0,-32.05758970578511,2.0302867499995045,-0.042247261852025986,-32.00605392456055
-32.0,-32.05758970578511,2.042555792024359,-0.04672275111079216,-31.791913986206055
-32.0,-32.05758970578511,2.0549114170135,-0.026078559458255768,-32.483211517333984
-32.0,-32.05758970578511,2.0665850000223145,-0.04863346740603447,-31.744564056396484
-32.0,-32.05758970578511,2.0793943339958787,-0.034627918154001236,-32.206546783447266
-32.0,-32.05758970578511,2.0917987920111045,-0.040537573397159576,-31.993167877197266
-32.0,-32.05758970578511,2.104167375015095,-0.04661271348595619,-31.787349700927734
-32.0,-32.05758970578511,2.1166806670371443,-0.02371435984969139,-32.57320022583008
-32.0,-32.05758970578511,2.1289197920123115,-0.04830547794699669,-31.765554428100586
-32.0,-32.05758970578511,2.1411483749980107,-0.035375501960515976,-32.18507766723633
-32.0,-32.05758970578511,2.153517875005491,-0.039076533168554306,-32.01474380493164
-32.0,-32.05758970578511,2.1658095419988967,-0.04752807691693306,-31.814992904663086
-32.0,-32.05758970578511,2.1780312500195578,-0.022076796740293503,-32.5869026184082
-32.0,-32.05758970578511,2.1907679170253687,-0.048784345388412476,-31.7341365814209
-32.0,-32.05758970578511,2.203406249987893,-0.03558460623025894,-32.15065383911133
-32.0,-32.05758970578511,2.2157292920164764,-0.038816191256046295,-31.988855361938477
-32.0,-32.05758970578511,2.228033458988648,-0.04629109054803848,-31.79341697692871
-32.0,-32.05758970578511,2.241016459011007,-0.023671552538871765,-32.57632064819336
-32.0,-32.05758970578511,2.2533376250066794,-0.05006127431988716,-31.70742416381836
-32.0,-32.05758970578511,2.2657224170397967,-0.035586606711149216,-32.15009689331055
-32.0,-32.05758970578511,2.2780477920314297,-0.042113304138183594,-31.94993019104004
-32.0,-32.05758970578511,2.290580458997283,-0.04720338061451912,-31.797080993652344
-32.0,-32.05758970578511,2.3029600420268252,-0.023600704967975616,-32.57368087768555
-32.0,-32.05758970578511,2.3146138340234756,-0.04909174144268036,-31.729686737060547
-32.0,-32.05758970578511,2.3270366250071675,-0.03815271332859993,-32.07316207885742
-32.0,-32.05758970578511,2.3385840840055607,-0.0373067669570446,-32.035057067871094
-32.0,-32.05758970578511,2.350958959024865,-0.0479767732322216,-31.832996368408203
-32.0,-32.05758970578511,2.3634237090009265,-0.023157786577939987,-32.573577880859375
-32.0,-32.05758970578511,2.37590091698803,-0.04381463676691055,-31.816804885864258
-32.0,-32.05758970578511,2.3883407920366153,-0.040795136243104935,-32.050933837890625
-32.0,-32.05758970578511,2.400779584015254,-0.0362924300134182,-32.07029724121094
-32.0,-32.05758970578511,2.4131731670349836,-0.0481431782245636,-31.834144592285156
-32.0,-32.05758970578511,2.4256077500176616,-0.02425260841846466,-32.5131950378418
-32.0,-32.05758970578511,2.4379346250207163,-0.0459601953625679,-31.813127517700195
-32.0,-32.05758970578511,2.4502488750149496,-0.042757656425237656,-31.955196380615234
-32.0,-32.05758970578511,2.4625086250016466,-0.03844289481639862,-32.0184211730957
-32.0,-32.05758970578511,2.47455554199405,-0.04857724532485008,-31.809871673583984
-32.0,-32.05758970578511,2.487002209003549,-0.02487220987677574,-32.49728012084961
-32.0,-32.05758970578511,2.499689291988034,-0.041552308946847916,-31.91456413269043
-32.0,-32.05758970578511,2.512028958997689,-0.04178030788898468,-32.0197639465332
-32.0,-32.05758970578511,2.524636209011078,-0.03518722206354141,-32.11372375488281
-32.0,-32.05758970578511,2.536960666999221,-0.045867081731557846,-31.898929595947266
-32.0,-32.05758970578511,2.548522041994147,-0.02224181406199932,-32.53813171386719
-32.0,-32.05758970578511,2.5608856670442037,-0.03907535597681999,-32.00773239135742
-32.0,-32.05758970578511,2.5733304590103216,-0.04276058077812195,-31.98412322998047
-32.0,-32.05758970578511,2.585993917018641,-0.03151678666472435,-32.1597900390625
-32.0,-32.05758970578511,2.5987513750442304,-0.048044800758361816,-31.80876350402832
-32.0,-32.05758970578511,2.6107424999936484,-0.02559843845665455,-32.43744659423828
-32.0,-32.05758970578511,2.623171417042613,-0.04058771952986717,-31.930522918701172
-32.0,-32.05758970578511,2.635772250010632,-0.043867383152246475,-31.95075798034668
-32.0,-32.05758970578511,2.648703499988187,-0.038160208612680435,-32.06489562988281
-32.0,-32.05758970578511,2.6612340839928947,-0.04762797802686691,-31.8297061920166
-32.0,-32.05758970578511,2.673632459016517,-0.024704916402697563,-32.51405334472656
-32.0,-32.05758970578511,2.6858528750017285,-0.03854670748114586,-31.954463958740234
-32.0,-32.05758970578511,2.6981410839944147,-0.04428444802761078,-31.974868774414062
-32.0,-32.05758970578511,2.710558167018462,-0.03373540937900543,-32.10758972167969
-32.0,-32.05758970578511,2.7226023750263266,-0.05258215218782425,-31.779800415039062
-32.0,-32.05758970578511,2.734983167028986,-0.02514667622745037,-32.44173049926758
-32.0,-32.05758970578511,2.747432417003438,-0.04027516394853592,-31.988264083862305
-32.0,-32.05758970578511,2.7596690420177765,-0.042014025151729584,-31.990049362182617
-32.0,-32.05758970578511,2.771756500005722,-0.027271315455436707,-32.33914566040039
-32.0,-32.05758970578511,2.78416554199066,-0.05028447508811951,-31.78757667541504
-32.0,-32.05758970578511,2.79671349999262,-0.027006497606635094,-32.418460845947266
-32.0,-32.05758970578511,2.8091213339939713,-0.038299594074487686,-32.02938461303711
-32.0,-32.05758970578511,2.821414834004827,-0.044586677104234695,-31.927467346191406
-32.0,-32.05758970578511,2.833759250002913,-0.02653144858777523,-32.33591842651367
-32.0,-32.05758970578511,2.8455692090210505,-0.054147787392139435,-31.7381591796875
-32.0,-32.05758970578511,2.857026042009238,-0.030663223937153816,-32.28388595581055
-32.0,-32.05758970578511,2.8693202920258045,-0.042427897453308105,-31.990198135375977
-32.0,-32.05758970578511,2.8816433339961804,-0.04721479490399361,-31.75692367553711
-32.0,-32.05758970578511,2.8932674170355313,-0.023822017014026642,-32.52971267700195
-32.0,-32.05758970578511,2.9055874590412714,-0.05102173238992691,-31.713329315185547
-32.0,-32.05758970578511,2.917904250032734,-0.03499269858002663,-32.152000427246094
-32.0,-32.05758970578511,2.9301531669916585,-0.03840348869562149,-32.02711868286133
-32.0,-32.05758970578511,2.9424822090077214,-0.045321036130189896,-31.835084915161133
-32.0,-32.05758970578511,2.9547535000019707,-0.022829419001936913,-32.55491256713867
-32.0,-32.05758970578511,2.967399542045314,-0.046201787889003754,-31.8154296875
-32.0,-32.05758970578511,2.979640792007558,-0.03602954000234604,-32.14727783203125
-32.0,-32.05758970578511,2.9919821670046076,-0.03752192482352257,-32.06763458251953
-30.13529411764706,-30.150355269468903,2.500019036233425e-07,-0.02184792421758175,-30.611183166503906
-30.13529411764706,-30.150355269468903,0.013110750005580485,-0.05216063931584358,-29.739990234375
-30.13529411764706,-30.150355269468903,0.02899412502301857,-0.028683239594101906,-30.317180633544922
-30.13529411764706,-30.150355269468903,0.042917000013403594,-0.039839811623096466,-30.081308364868164
-30.13529411764706,-30.150355269468903,0.05630308302352205,-0.04234613850712776,-29.96805191040039
-30.13529411764706,-30.150355269468903,0.06926179199945182,-0.021049074828624725,-30.504899978637695
-30.13529411764706,-30.150355269468903,0.08246529201278463,-0.05107591673731804,-29.7592830657959
-30.13529411764706,-30.150355269468903,0.09603120799874887,-0.026135582476854324,-30.40477752685547
-30.13529411764706,-30.150355269468903,0.10937916702823713,-0.038535621017217636,-30.04910659790039
-30.13529411764706,-30.150355269468903,0.12252033303957433,-0.04296024516224861,-29.90959930419922
-30.13529411764706,-30.150355269468903,0.13484825001796708,-0.01955072395503521,-30.561662673950195
-30.13529411764706,-30.150355269468903,0.1471721670241095,-0.04834655299782753,-29.73138427734375
-30.13529411764706,-30.150355269468903,0.15970091702183709,-0.035333264619112015,-30.169111251831055
-30.13529411764706,-30.150355269468903,0.17160479200538248,-0.03149755299091339,-30.19404411315918
-30.13529411764706,-30.150355269468903,0.1829831250361167,-0.04990764707326889,-29.821908950805664
-30.13529411764706,-30.150355269468903,0.1951665420201607,-0.030129313468933105,-30.29207420349121
-30.13529411764706,-30.150355269468903,0.20708033302798867,-0.03972458466887474,-30.013790130615234
-30.13529411764706,-30.150355269468903,0.22033291700063273,-0.04283604398369789,-29.86433982849121
