v_cmd,t,omega_m,enc1_pos,q_A
28.555555555555557,0.27196441701380536,28.695018768310547,0.5073326826095581,1.498948335647583
28.555555555555557,0.2846278329961933,28.365934371948242,0.6048938632011414,1.7558679580688477
28.555555555555557,0.2988132080063224,28.76460838317871,0.7177786827087402,1.5107121467590332
28.555555555555557,0.3129799999878742,28.58951187133789,0.823488712310791,1.6052343845367432
28.555555555555557,0.32574837503489107,28.568445205688477,0.9281063675880432,1.6427741050720215
28.555555555555557,0.3380456669838168,28.691143035888672,0.022042740136384964,1.5245530605316162
28.555555555555557,0.35040937503799796,28.414262771606445,0.11501112580299377,1.7315481901168823
28.555555555555557,0.36286045802989975,28.666120529174805,0.21541811525821686,1.5953538417816162
28.555555555555557,0.3756646669935435,28.617511749267578,0.3154055178165436,1.5229285955429077
28.555555555555557,0.38824308302719146,28.272315979003906,0.4128299951553345,1.8475022315979004
28.555555555555557,0.40074366703629494,28.581356048583984,0.5129907727241516,1.6719263792037964
28.555555555555557,0.41426300001330674,28.61863136291504,0.6097678542137146,1.6103143692016602
28.555555555555557,0.4270517920376733,28.4323673248291,0.7147701382637024,1.7767548561096191
28.555555555555557,0.44041641702642664,28.64249610900879,0.8180972337722778,1.6351484060287476
28.555555555555557,0.4541722920257598,28.351823806762695,0.9336927533149719,1.779745101928711
28.555555555555557,0.46795970801031217,28.6059627532959,0.051127977669239044,1.6481398344039917
28.555555555555557,0.482867292012088,28.62577247619629,0.15158617496490479,1.5413740873336792
28.555555555555557,0.49682687502354383,28.4508056640625,0.2664031684398651,1.7798540592193604
28.555555555555557,0.5119256250327453,28.777334213256836,0.3834720551967621,1.4636244773864746
28.555555555555557,0.5262855420005508,28.357664108276367,0.49214935302734375,1.7778371572494507
28.555555555555557,0.5396515830070712,28.710020065307617,0.595783531665802,1.4662222862243652
28.555555555555557,0.5520667920354754,28.772817611694336,0.6820836663246155,1.4839658737182617
28.555555555555557,0.5644825000199489,28.506921768188477,0.7849636673927307,1.7152256965637207
28.555555555555557,0.5777126250322908,28.668556213378906,0.889974057674408,1.5599349737167358
28.555555555555557,0.5906222920166329,28.675640106201172,0.9936197400093079,1.444562315940857
28.555555555555557,0.6062712920247577,28.574094772338867,0.11624100059270859,1.6033737659454346
28.555555555555557,0.6189880419988185,28.74298667907715,0.21434836089611053,1.4157280921936035
28.555555555555557,0.6327032080153003,28.36129379272461,0.3185856342315674,1.6999114751815796
28.555555555555557,0.6453629580209963,28.747854232788086,0.4196602702140808,1.4901460409164429
28.555555555555557,0.6585790420067497,28.702281951904297,0.5233896374702454,1.436439037322998
28.555555555555557,0.6715418749954551,28.42530059814453,0.6175152063369751,1.7446603775024414
28.555555555555557,0.6840783330262639,28.739948272705078,0.7369757890701294,1.4499648809432983
28.555555555555557,0.6997348330332898,28.53363609313965,0.8404907584190369,1.5961627960205078
28.555555555555557,0.7160270829917863,28.56012535095215,0.9846823215484619,1.5453999042510986
28.555555555555557,0.7306321670184843,28.57156753540039,0.08701371401548386,1.4792823791503906
28.555555555555557,0.743773250025697,28.34345054626465,0.18273411691188812,1.716855764389038
28.555555555555557,0.7565946250106208,28.56003189086914,0.28600436449050903,1.6141915321350098
28.555555555555557,0.7695242500049062,28.400590896606445,0.38726070523262024,1.7674269676208496
28.555555555555557,0.7867164580384269,28.595624923706055,0.5201493501663208,1.6416535377502441
28.555555555555557,0.7998916250071488,28.573678970336914,0.6161999702453613,1.6622421741485596
28.555555555555557,0.8134625829989091,28.355314254760742,0.7223652005195618,1.8483108282089233
28.555555555555557,0.8257775420206599,28.64561653137207,0.8221423625946045,1.5368001461029053
28.555555555555557,0.838971416989807,28.448471069335938,0.928938627243042,1.617759108543396
28.555555555555557,0.8529080000007525,28.48577880859375,0.038330599665641785,1.7304071187973022
28.555555555555557,0.8662188749876805,28.69956398010254,0.13189779222011566,1.554319143295288
28.555555555555557,0.8801287080277689,28.414188385009766,0.24853596091270447,1.69978928565979
28.555555555555557,0.8926136250374839,28.74274253845215,0.34306684136390686,1.5708496570587158
28.555555555555557,0.9051148750004359,28.628910064697266,0.44719552993774414,1.5650241374969482
28.555555555555557,0.9184302919893526,28.349164962768555,0.5486613512039185,1.8337334394454956
28.555555555555557,0.9313493330264464,28.578821182250977,0.6439681649208069,1.7140811681747437
28.555555555555557,0.9443828749936074,28.533674240112305,0.7452986836433411,1.5957459211349487
28.555555555555557,0.9572597920196131,28.583372116088867,0.8518527150154114,1.7096757888793945
28.555555555555557,0.9705330000142567,28.665346145629883,0.9567967057228088,1.4950683116912842
28.555555555555557,0.983573957986664,28.290128707885742,0.05789772421121597,1.747462511062622
28.555555555555557,0.9965747920214199,28.61372947692871,0.15221017599105835,1.5182790756225586
28.555555555555557,1.0096565000130795,28.66168975830078,0.2581891119480133,1.545480489730835
28.555555555555557,1.0245577919995412,28.42239761352539,0.3750177025794983,1.6552069187164307
28.555555555555557,1.0378815830335952,28.62626838684082,0.48406562209129333,1.6066302061080933
28.555555555555557,1.0515965420054272,28.380462646484375,0.5877355933189392,1.7389183044433594
28.555555555555557,1.0646321250242181,28.68191909790039,0.6908831000328064,1.5248734951019287
28.555555555555557,1.0790130000095814,28.767799377441406,0.8027222752571106,1.4096606969833374
28.555555555555557,1.0944596250192262,28.455541610717773,0.9185086488723755,1.706173300743103
28.555555555555557,1.1064684170414694,28.713632583618164,0.01840835250914097,1.480700969696045
28.555555555555557,1.1187757920124568,28.575944900512695,0.11262720078229904,1.6250824928283691
28.555555555555557,1.1315918330219574,28.52737808227539,0.20982106029987335,1.6396610736846924
28.555555555555557,1.144827832991723,28.669878005981445,0.3122332692146301,1.5056893825531006
28.555555555555557,1.156697750033345,28.42713737487793,0.40375739336013794,1.7203400135040283
28.555555555555557,1.1689115419867449,28.568117141723633,0.49914658069610596,1.6381752490997314
28.555555555555557,1.1814427500357851,28.706539154052734,0.6000051498413086,1.4385855197906494
28.555555555555557,1.1934802500181831,28.35283660888672,0.685349702835083,1.7096408605575562
28.555555555555557,1.2058205830398947,28.55718994140625,0.7865397930145264,1.544435739517212
28.555555555555557,1.2186598330154084,28.643667221069336,0.8854501247406006,1.5054738521575928
28.555555555555557,1.2309607079951093,28.329986572265625,0.9848093390464783,1.6626811027526855
28.555555555555557,1.24457275000168,28.6728515625,0.09502951055765152,1.5370229482650757
28.555555555555557,1.2582711669965647,28.62770652770996,0.1949915736913681,1.5204734802246094
28.555555555555557,1.2709363750182092,28.50807762145996,0.30219897627830505,1.558268427848816
28.555555555555557,1.2846258750068955,28.635351181030273,0.4029223620891571,1.5269949436187744
28.555555555555557,1.299406333011575,28.231706619262695,0.519772469997406,1.828352928161621
28.555555555555557,1.3133125000167638,28.544788360595703,0.61903315782547,1.701042890548706
28.555555555555557,1.3265110829961486,28.64276885986328,0.7209856510162354,1.5935380458831787
28.555555555555557,1.3389315420063213,28.38919448852539,0.8200982213020325,1.7363109588623047
28.555555555555557,1.3521679579862393,28.67025375366211,0.9326767921447754,1.599918246269226
28.555555555555557,1.3655373750370927,28.44363021850586,0.03357363119721413,1.6175057888031006
28.555555555555557,1.3784190830192529,28.529186248779297,0.12247919291257858,1.6741352081298828
28.555555555555557,1.3913264580187388,28.747468948364258,0.23152455687522888,1.5315006971359253
28.555555555555557,1.4044722079997882,28.40721893310547,0.33684709668159485,1.6977825164794922
28.555555555555557,1.4179298329981975,28.706579208374023,0.44563281536102295,1.576391577720642
28.555555555555557,1.4315979580278508,28.63983726501465,0.5481367111206055,1.6273553371429443
28.555555555555557,1.4457619580207393,28.449970245361328,0.6585890650749207,1.8211860656738281
28.555555555555557,1.4597740420140326,28.733631134033203,0.7618175745010376,1.5542315244674683
28.555555555555557,1.4725529170245863,28.44109344482422,0.8660534024238586,1.7608311176300049
28.555555555555557,1.484904707991518,28.58514976501465,0.9701655507087708,1.6353514194488525
28.555555555555557,1.4982746670139022,28.656124114990234,0.07315715402364731,1.5205037593841553
28.555555555555557,1.5121379580232315,28.307451248168945,0.17513997852802277,1.8376944065093994
28.555555555555557,1.5281490830238909,28.636491775512695,0.30103617906570435,1.6436188220977783
28.555555555555557,1.5409492920152843,28.4438419342041,0.4012051522731781,1.7292855978012085
28.555555555555557,1.553999208030291,28.45728874206543,0.4988570511341095,1.6899837255477905
28.555555555555557,1.5665054580313154,28.642866134643555,0.6030819416046143,1.5426783561706543
28.555555555555557,1.5796680829953402,28.32660675048828,0.7062867283821106,1.8668317794799805
28.555555555555557,1.5939230420044623,28.70682716369629,0.8108246326446533,1.6262562274932861
28.555555555555557,1.6067750420188531,28.73276710510254,0.9139534831047058,1.468376874923706
28.555555555555557,1.6196540420060046,28.398963928222656,0.01756521873176098,1.6668081283569336
28.555555555555557,1.6332146670320071,28.66897964477539,0.11660733819007874,1.5965341329574585
28.555555555555557,1.648134667018894,28.44302749633789,0.24049922823905945,1.6088132858276367
28.555555555555557,1.661983333004173,28.653583526611328,0.3522445559501648,1.5346840620040894
28.555555555555557,1.6764980420120992,28.63258171081543,0.465255469083786,1.596815586090088
28.555555555555557,1.6911058750119992,28.39902687072754,0.5767549276351929,1.7597975730895996
28.555555555555557,1.7061614170088433,28.752187728881836,0.6902862191200256,1.4328436851501465
28.555555555555557,1.7248709999839775,28.4676456451416,0.8357401490211487,1.6919583082199097
28.555555555555557,1.738918624992948,28.665084838867188,0.9466314911842346,1.5581037998199463
28.555555555555557,1.7521419579861686,28.406490325927734,0.053650613874197006,1.6594493389129639
28.555555555555557,1.7653943750192411,28.55656623840332,0.14667733013629913,1.6142300367355347
28.555555555555557,1.7786654580268078,28.727256774902344,0.25533947348594666,1.4312160015106201
28.555555555555557,1.794759000011254,28.34075927734375,0.3858950734138489,1.7853691577911377
28.555555555555557,1.8090260830358602,28.610456466674805,0.49457141757011414,1.5895006656646729
28.555555555555557,1.8231047079898417,28.357749938964844,0.6042860150337219,1.7873632907867432
28.555555555555557,1.835954042035155,28.54802131652832,0.6987349390983582,1.6646976470947266
28.555555555555557,1.8494648330379277,28.618526458740234,0.8021481037139893,1.5773825645446777
28.555555555555557,1.862510833016131,28.366289138793945,0.9079787135124207,1.720846176147461
