v_cmd,omega_mean,t,torque,omega
-32.0,-32.00667858967739,1.252024999994319,-0.06365028023719788,-31.960834503173828
-32.0,-32.00667858967739,1.2660742080188356,-0.0647909864783287,-31.96119499206543
-32.0,-32.00667858967739,1.279582874965854,-0.06303157657384872,-32.0134391784668
-32.0,-32.00667858967739,1.2935164159862325,-0.0639304593205452,-31.89205551147461
-32.0,-32.00667858967739,1.3088684999966063,-0.06202546879649162,-31.97615623474121
-32.0,-32.00667858967739,1.3235912499949336,-0.0652359127998352,-31.911846160888672
-32.0,-32.00667858967739,1.3372724159853533,-0.05963674932718277,-32.05467224121094
-32.0,-32.00667858967739,1.3519042080151848,-0.06681647151708603,-31.779682159423828
-32.0,-32.00667858967739,1.3664007909828797,-0.05964727699756622,-32.11042404174805
-32.0,-32.00667858967739,1.3788435409660451,-0.06092926114797592,-32.05628967285156
-32.0,-32.00667858967739,1.3904318750137463,-0.06241050735116005,-31.984792709350586
-32.0,-32.00667858967739,1.4027190409833565,-0.06435557454824448,-32.00156784057617
-32.0,-32.00667858967739,1.414438457984943,-0.06615327298641205,-31.815664291381836
-32.0,-32.00667858967739,1.4268574159941636,-0.058434825390577316,-32.19417190551758
-32.0,-32.00667858967739,1.4407716660061851,-0.056419625878334045,-32.127620697021484
-32.0,-32.00667858967739,1.4537091249949299,-0.06019306182861328,-32.06641387939453
-32.0,-32.00667858967739,1.4670546659617685,-0.0573967769742012,-32.07475662231445
-32.0,-32.00667858967739,1.4796112909680232,-0.06719476729631424,-31.755146026611328
-32.0,-32.00667858967739,1.4927049159887247,-0.06085440516471863,-32.053138732910156
-32.0,-32.00667858967739,1.5053879999904893,-0.06128634884953499,-31.975975036621094
-32.0,-32.00667858967739,1.5197804580093361,-0.059746358543634415,-32.138389587402344
-32.0,-32.00667858967739,1.5338687499752268,-0.06223210319876671,-32.05055236816406
-32.0,-32.00667858967739,1.5474444159772247,-0.059302110224962234,-32.137794494628906
-32.0,-32.00667858967739,1.5608784159994684,-0.056322481483221054,-32.18021011352539
-32.0,-32.00667858967739,1.574318790982943,-0.06648162752389908,-31.824623107910156
-32.0,-32.00667858967739,1.5896117499796674,-0.05753611400723457,-32.07539367675781
-32.0,-32.00667858967739,1.6056571250082925,-0.06883373111486435,-31.87030601501465
-32.0,-32.00667858967739,1.6188733750022948,-0.061596665531396866,-32.08462142944336
-32.0,-32.00667858967739,1.631523332966026,-0.06630377471446991,-31.885038375854492
-32.0,-32.00667858967739,1.644911332987249,-0.06236888840794563,-32.054412841796875
-32.0,-32.00667858967739,1.6602628749678843,-0.05993524566292763,-32.045799255371094
-32.0,-32.00667858967739,1.6727015000069514,-0.059389661997556686,-32.083560943603516
-32.0,-32.00667858967739,1.685396624961868,-0.06226139888167381,-32.05986404418945
-32.0,-32.00667858967739,1.6983938330085948,-0.07003720104694366,-31.731843948364258
-32.0,-32.00667858967739,1.7106450829887763,-0.06105496361851692,-32.09023666381836
-32.0,-32.00667858967739,1.723363541008439,-0.05938813090324402,-32.05049133300781
-32.0,-32.00667858967739,1.7384167080163024,-0.05843854695558548,-32.1653938293457
-32.0,-32.00667858967739,1.7522103330120444,-0.06009335443377495,-32.073516845703125
-32.0,-32.00667858967739,1.7671500410069712,-0.05914473161101341,-32.07685852050781
-32.0,-32.00667858967739,1.7797145000076853,-0.058133743703365326,-32.07554244995117
-32.0,-32.00667858967739,1.7928660829784349,-0.06807117164134979,-31.817766189575195
-32.0,-32.00667858967739,1.8051592080155388,-0.0600239522755146,-32.02968978881836
-32.0,-32.00667858967739,1.817678832972888,-0.06150602176785469,-32.018253326416016
-32.0,-32.00667858967739,1.8300962499924935,-0.06397105008363724,-32.001522064208984
-32.0,-32.00667858967739,1.842375083011575,-0.060297075659036636,-32.11176681518555
-32.0,-32.00667858967739,1.8544173329719342,-0.06407629698514938,-31.923126220703125
-32.0,-32.00667858967739,1.8667392909992486,-0.060154058039188385,-32.0922966003418
-32.0,-32.00667858967739,1.8790687500149943,-0.06383822113275528,-31.940614700317383
-32.0,-32.00667858967739,1.8916211249888875,-0.0622754767537117,-31.972564697265625
-32.0,-32.00667858967739,1.9048658329993486,-0.063578762114048,-31.951276779174805
-32.0,-32.00667858967739,1.9201683329883963,-0.06549470126628876,-31.845853805541992
-32.0,-32.00667858967739,1.933444791007787,-0.06159524247050285,-31.98900032043457
-32.0,-32.00667858967739,1.9469132499652915,-0.06794408708810806,-31.73981285095215
-32.0,-32.00667858967739,1.9607886250014417,-0.06045020371675491,-32.086151123046875
-32.0,-32.00667858967739,1.9744339999742806,-0.06415477395057678,-31.956396102905273
-32.0,-32.00667858967739,1.990408415964339,-0.05999187380075455,-32.092613220214844
-32.0,-32.00667858967739,2.0028507499955595,-0.06341688334941864,-32.00977325439453
-32.0,-32.00667858967739,2.0151690829661675,-0.06044226512312889,-31.994951248168945
-32.0,-32.00667858967739,2.027451916015707,-0.06131904199719429,-32.03445816040039
-32.0,-32.00667858967739,2.040195166016929,-0.06915803253650665,-31.744800567626953
-32.0,-32.00667858967739,2.055437750008423,-0.059377074241638184,-32.13911819458008
-32.0,-32.00667858967739,2.067833375011105,-0.06015367433428764,-32.09299087524414
-32.0,-32.00667858967739,2.0816368749947287,-0.05369376018643379,-32.219017028808594
-32.0,-32.00667858967739,2.097111291019246,-0.06138266250491142,-32.01215744018555
-32.0,-32.00667858967739,2.1110860829940066,-0.06457877159118652,-32.01936721801758
-32.0,-32.00667858967739,2.1248609159956686,-0.058753956109285355,-32.14105987548828
-32.0,-32.00667858967739,2.138468124961946,-0.06354779750108719,-31.943510055541992
-32.0,-32.00667858967739,2.1515992910135537,-0.05979946255683899,-32.0858154296875
-32.0,-32.00667858967739,2.166371707979124,-0.06531330198049545,-31.800085067749023
-32.0,-32.00667858967739,2.178755500004627,-0.05982152000069618,-32.1587028503418
-32.0,-32.00667858967739,2.1903830409864895,-0.06027817726135254,-32.088802337646484
-32.0,-32.00667858967739,2.2027091659838334,-0.06049485504627228,-32.01996612548828
-32.0,-32.00667858967739,2.2150337909697555,-0.058368269354104996,-32.098419189453125
-32.0,-32.00667858967739,2.227379707968794,-0.06584673374891281,-31.848493576049805
-32.0,-32.00667858967739,2.2397056249901652,-0.06155047193169594,-32.05519485473633
-32.0,-32.00667858967739,2.253070958016906,-0.06185321509838104,-32.058494567871094
-32.0,-32.00667858967739,2.266713040997274,-0.06228703260421753,-31.972759246826172
-32.0,-32.00667858967739,2.2798559999791905,-0.06038813665509224,-32.10043716430664
-32.0,-32.00667858967739,2.2935502079781145,-0.06867548823356628,-31.82834243774414
-32.0,-32.00667858967739,2.309160124976188,-0.06133567914366722,-32.06127166748047
-32.0,-32.00667858967739,2.3245002909679897,-0.07024519145488739,-31.764089584350586
-32.0,-32.00667858967739,2.3387995829689316,-0.06175721809267998,-31.948091506958008
-32.0,-32.00667858967739,2.3512332499958575,-0.06540242582559586,-31.88161277770996
-32.0,-32.00667858967739,2.364093040989246,-0.0627950057387352,-32.06218338012695
-32.0,-32.00667858967739,2.3772104579838924,-0.0626181960105896,-31.995512008666992
-32.0,-32.00667858967739,2.3911349999834783,-0.0667424350976944,-31.871723175048828
-32.0,-32.00667858967739,2.4037737079779617,-0.06030460074543953,-32.05706024169922
-32.0,-32.00667858967739,2.417106040986255,-0.06553307920694351,-31.837318420410156
-32.0,-32.00667858967739,2.4311486660153605,-0.061000701040029526,-32.056396484375
-32.0,-32.00667858967739,2.4444983329740353,-0.06623537093400955,-31.861230850219727
-32.0,-32.00667858967739,2.4583842499996535,-0.06229478493332863,-32.02336883544922
-32.0,-32.00667858967739,2.4723372909938917,-0.06193390116095543,-32.025264739990234
-32.0,-32.00667858967739,2.4854443749645725,-0.06295445561408997,-31.979164123535156
-32.0,-32.00667858967739,2.498584040964488,-0.05952472612261772,-32.10968017578125
-32.0,-32.00667858967739,2.5115486250142567,-0.06800604611635208,-31.832103729248047
-32.0,-32.00667858967739,2.5240551250171848,-0.058907195925712585,-32.183387756347656
-32.0,-32.00667858967739,2.5366900410153903,-0.059608735144138336,-32.13970184326172
-32.0,-32.00667858967739,2.550216374977026,-0.05661676824092865,-32.166168212890625
-32.0,-32.00667858967739,2.5664595830021426,-0.05820693448185921,-32.13252258300781
-32.0,-32.00667858967739,2.5819878329639323,-0.05641808360815048,-32.19512176513672
-32.0,-32.00667858967739,2.5947904579807073,-0.061567068099975586,-32.11501693725586
-32.0,-32.00667858967739,2.6090494159725495,-0.06571615487337112,-31.963102340698242
-32.0,-32.00667858967739,2.6217899579787627,-0.05661909282207489,-32.1636848449707
-32.0,-32.00667858967739,2.6339215000043623,-0.06315428018569946,-31.983877182006836
-32.0,-32.00667858967739,2.648185124970041,-0.05401424691081047,-32.290565490722656
-32.0,-32.00667858967739,2.661569415999111,-0.058048807084560394,-32.083248138427734
-32.0,-32.00667858967739,2.6757789999828674,-0.05666342005133629,-32.13551712036133
-32.0,-32.00667858967739,2.6885921249631792,-0.05817848816514015,-32.1384162902832
-32.0,-32.00667858967739,2.7022111249971204,-0.0628487765789032,-31.972318649291992
-32.0,-32.00667858967739,2.715941375005059,-0.06012891232967377,-32.04948043823242
-32.0,-32.00667858967739,2.7307813329971395,-0.06878742575645447,-31.781248092651367
-32.0,-32.00667858967739,2.744412290980108,-0.06024302542209625,-32.08718490600586
-32.0,-32.00667858967739,2.7640384580008686,-0.06396119296550751,-31.997318267822266
-32.0,-32.00667858967739,2.777516791014932,-0.059340544044971466,-32.11797332763672
-32.0,-32.00667858967739,2.793018165975809,-0.06817395985126495,-31.813310623168945
-32.0,-32.00667858967739,2.805397415999323,-0.05293567478656769,-32.21275329589844
-32.0,-32.00667858967739,2.8170969579950906,-0.054556068032979965,-32.170162200927734
-32.0,-32.00667858967739,2.829451791010797,-0.064581498503685,-31.94048500061035
-32.0,-32.00667858967739,2.8417807079968043,-0.058218374848365784,-32.06265640258789
-32.0,-32.00667858967739,2.854186540993396,-0.06855969876050949,-31.783105850219727
-32.0,-32.00667858967739,2.866519082977902,-0.05907769873738289,-32.090354919433594
