# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 6920
# period  = 20833.339 us/tick
# bpm     = 120.000
# sigma_t = 204.627 us
# k,timestamp_us,residual_us
429,27842548,53.3
430,27863257,-71.1
431,27884203,41.6
432,27905019,24.2
433,27925756,-72.1
434,27946639,-22.4
435,27967348,-146.8
436,27988124,-204.1
437,28008951,-210.4
438,28029806,-188.8
439,28050601,-227.1
440,28071439,-222.5
441,28092290,-204.8
442,28113130,-198.1
443,28133947,-214.5
444,28154773,-221.8
445,28175611,-217.2
446,28196483,-178.5
447,28217269,-225.8
448,28238281,-47.2
449,28259092,-69.5
450,28280006,11.2
451,28300766,-62.2
452,28321591,-70.5
453,28342455,-39.9
454,28363271,-57.2
455,28384119,-42.5
456,28404953,-41.9
457,28425755,-73.2
458,28446651,-10.6
459,28467369,-125.9
460,28488305,-23.2
461,28509109,-52.6
462,28529961,-33.9
463,28550765,-63.2
464,28571628,-33.6
465,28592426,-68.9
466,28613293,-35.3
467,28634133,-28.6
468,28654999,4.1
469,28675830,1.7
470,28696614,-47.6
471,28717459,-36.0
472,28738294,-34.3
473,28759106,-55.6
474,28779956,-39.0
475,28800833,4.7
476,28821572,-89.6
477,28842448,-47.0
478,28863274,-54.3
479,28884089,-72.7
480,28904945,-50.0
481,28925787,-41.3
482,28946632,-29.7
483,28967497,2.0
484,28988274,-54.4
485,29008946,-215.7
486,29029799,-196.0
487,29050627,-201.4
488,29071468,-193.7
489,29092269,-226.0
490,29113121,-207.4
491,29133969,-192.7
492,29154855,-140.1
493,29175803,-25.4
494,29196627,-34.7
495,29217473,-22.1
496,29238298,-30.4
497,29259125,-36.8
498,29279926,-69.1
499,29300825,-3.4
500,29321605,-56.8
501,29342461,-34.1
502,29363288,-40.4
503,29384087,-74.8
504,29404972,-23.1
505,29425803,-25.5
506,29446570,-91.8
507,29467463,-32.1
508,29488277,-51.5
509,29509135,-26.8
510,29529944,-51.2
511,29550801,-27.5
512,29571597,-64.8
513,29592315,-180.2
514,29613134,-194.5
515,29633960,-201.8
516,29654832,-163.2
517,29675667,-161.5
518,29696474,-187.9
519,29717393,-102.2
520,29738230,-98.5
521,29759078,-83.9
