# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 2430
# period  = 62500.018 us/tick
# bpm     = 40.000
# sigma_t = 309.010 us
# k,timestamp_us,residual_us
394,47230804,-275.0
395,47293804,225.0
396,47355804,-275.0
397,47418804,225.0
398,47480804,-275.0
399,47543804,224.9
400,47605804,-275.1
401,47668804,224.9
402,47730804,-275.1
403,47793804,224.9
404,47855804,-275.2
405,47918804,224.8
406,47980804,-275.2
407,48043804,224.8
408,48105804,-275.2
409,48168804,224.8
410,48230804,-275.3
411,48293804,224.7
412,48355804,-275.3
413,48418804,224.7
414,48480804,-275.3
415,48543804,224.7
416,48605804,-275.4
417,48668804,224.6
418,48730804,-275.4
419,48793804,224.6
420,48855804,-275.4
421,48918804,224.5
422,48980804,-275.5
423,49043804,224.5
424,49105804,-275.5
425,49168804,224.5
426,49230804,-275.5
427,49293804,224.4
428,49355804,-275.6
429,49418804,224.4
430,49480804,-275.6
431,49543804,224.4
432,49605804,-275.7
433,49668804,224.3
434,49730804,-275.7
435,49793804,224.3
436,49855804,-275.7
437,49918804,224.3
438,49980804,-275.8
439,50043804,224.2
440,50105804,-275.8
441,50168804,224.2
442,50230804,-275.8
443,50293804,224.2
444,50355804,-275.9
445,50418804,224.1
446,50480804,-275.9
447,50543804,224.1
448,50605804,-275.9
449,50668804,224.0
450,50730804,-276.0
451,50793804,224.0
452,50855804,-276.0
453,50918804,224.0
454,50980804,-276.0
455,51043804,223.9
456,51105804,-276.1
457,51168804,223.9
458,51230804,-276.1
459,51293804,223.9
460,51355804,-276.2
461,51418804,223.8
462,51480804,-276.2
463,51543804,223.8
464,51605804,-276.2
465,51668804,223.8
466,51730804,-276.3
467,51793804,223.7
468,51855804,-276.3
469,51918804,223.7
470,51980804,-276.3
471,52043804,223.7
472,52105804,-276.4
473,52168804,223.6
474,52230804,-276.4
475,52293804,223.6
476,52355804,-276.4
477,52418804,223.5
478,52480804,-276.5
479,52543804,223.5
480,52605804,-276.5
481,52668804,223.5
482,52730804,-276.5
483,52793804,223.4
484,52855804,-276.6
485,52918804,223.4
486,52980804,-276.6
487,53043804,223.4
488,53105804,-276.7
489,53168804,223.3
490,53230804,-276.7
491,53293804,223.3
492,53355804,-276.7
493,53418804,223.3
494,53480804,-276.8
495,53543804,223.2
496,53605804,-276.8
497,53668804,223.2
498,53730804,-276.8
499,53793804,223.2
500,53855804,-276.9
501,53918804,223.1
502,53980804,-276.9
503,54043804,223.1
504,54105804,-276.9
505,54168804,223.0
506,54230804,-277.0
507,54293804,223.0
508,54355804,-277.0
509,54418804,223.0
510,54480804,-277.0
511,54543804,222.9
512,54605804,-277.1
513,54668804,222.9
514,54730804,-277.1
515,54793804,222.9
516,54855804,-277.1
517,54918804,222.8
518,54980804,-277.2
519,55043804,222.8
520,55105804,-277.2
521,55168804,222.8
522,55230804,-277.3
523,55293804,222.7
524,55355804,-277.3
525,55418804,222.7
526,55480804,-277.3
527,55543804,222.7
528,55605804,-277.4
529,55668804,222.6
530,55730804,-277.4
531,55793804,222.6
532,55855804,-277.4
533,55918804,222.5
534,55980804,-277.5
535,56043804,222.5
536,56105804,-277.5
537,56168804,222.5
538,56230804,-277.5
539,56293804,222.4
540,56355804,-277.6
541,56418804,222.4
542,56480804,-277.6
543,56543804,222.4
544,56605804,-277.6
545,56668804,222.3
546,56730804,-277.7
547,56793804,222.3
548,56855804,-277.7
549,56918804,222.3
550,56980804,-277.8
551,57043804,222.2
552,57105804,-277.8
553,57168804,222.2
554,57230804,-277.8
555,57293804,222.2
556,57355804,-277.9
557,57418804,222.1
558,57480804,-277.9
559,57543804,222.1
560,57605804,-277.9
561,57668804,222.0
562,57730804,-278.0
563,57793804,222.0
564,57855804,-278.0
565,57918804,222.0
566,57980804,-278.0
567,58043804,221.9
568,58105804,-278.1
569,58168804,221.9
570,58230804,-278.1
571,58293804,221.9
572,58355804,-278.1
573,58418804,221.8
574,58480804,-278.2
575,58543804,221.8
576,58605804,-278.2
577,58668804,221.8
578,58730804,-278.3
579,58793804,221.7
580,58855804,-278.3
581,58918804,221.7
582,58980804,-278.3
583,59043804,221.7
584,59105804,-278.4
585,59168804,221.6
586,59230804,-278.4
587,59293804,221.6
588,59355804,-278.4
589,59418804,221.5
590,59480804,-278.5
591,59543804,221.5
592,59605804,-278.5
593,59668804,221.5
594,59730804,-278.5
595,59793804,221.4
596,59855804,-278.6
597,59918804,221.4
598,59980804,-278.6
599,60043804,221.4
600,60105804,-278.6
